#Release 14.5 - par P.58f (nt64)
#Copyright (c) 1995-2012 Xilinx, Inc.  All rights reserved.

#Tue May 17 18:09:11 2016

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       MainModule_map.ncd
#OUTPUT FILE:      MainModule_pad.csv
#PART TYPE:        xa7a100t
#SPEED GRADE:      -2i
#PACKAGE:          csg324
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P18,ALUOut<19>,IOB,IO_L9N_T1_DQS_D13_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
R1,,IOB33M,IO_L17P_T2_34,UNUSED,,34,,,,,,,,,
R2,,IOB33S,IO_L15N_T2_DQS_34,UNUSED,,34,,,,,,,,,
R3,,IOB33M,IO_L11P_T1_SRCC_34,UNUSED,,34,,,,,,,,,
R4,,,GND,,,,,,,,,,,,
R5,,IOB33S,IO_L19N_T3_VREF_34,UNUSED,,34,,,,,,,,,
R6,,IOB33M,IO_L19P_T3_34,UNUSED,,34,,,,,,,,,
R7,,IOB33M,IO_L23P_T3_34,UNUSED,,34,,,,,,,,,
R8,,IOB33M,IO_L24P_T3_34,UNUSED,,34,,,,,,,,,
R9,,,VCCO_0,,,0,,,,,any******,,,,
R10,,IOB33,IO_25_14,UNUSED,,14,,,,,,,,,
R11,ALUOut<4>,IOB,IO_0_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
R12,ALUOut<14>,IOB,IO_L5P_T0_D06_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
R13,ALUOut<21>,IOB,IO_L5N_T0_D07_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
R14,,,GND,,,,,,,,,,,,
R15,DataMemOut<11>,IOB,IO_L13N_T2_MRCC_14,TRISTATE,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,YES,NONE,
R16,DataMemOut<14>,IOB,IO_L15P_T2_DQS_RDWR_B_14,TRISTATE,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,YES,NONE,
R17,,IOB33S,IO_L12N_T1_MRCC_14,UNUSED,,14,,,,,,,,,
R18,ALUOut<18>,IOB,IO_L7P_T1_D09_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
T1,,IOB33S,IO_L17N_T2_34,UNUSED,,34,,,,,,,,,
T2,,,VCCO_34,,,34,,,,,1.80,,,,
T3,,IOB33S,IO_L11N_T1_SRCC_34,UNUSED,,34,,,,,,,,,
T4,,IOB33S,IO_L12N_T1_MRCC_34,UNUSED,,34,,,,,,,,,
T5,,IOB33M,IO_L12P_T1_MRCC_34,UNUSED,,34,,,,,,,,,
T6,,IOB33S,IO_L23N_T3_34,UNUSED,,34,,,,,,,,,
T7,,,GND,,,,,,,,,,,,
T8,,IOB33S,IO_L24N_T3_34,UNUSED,,34,,,,,,,,,
T9,PCOut<0>,IOB,IO_L24P_T3_A01_D17_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
T10,PCOut<1>,IOB,IO_L24N_T3_A00_D16_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
T11,DataMemOut<22>,IOB,IO_L19P_T3_A10_D26_14,TRISTATE,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,YES,NONE,
T12,,,VCCO_14,,,14,,,,,1.80,,,,
T13,DataMemOut<30>,IOB,IO_L23P_T3_A03_D19_14,TRISTATE,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,YES,NONE,
T14,,IOB33M,IO_L14P_T2_SRCC_14,UNUSED,,14,,,,,,,,,
T15,,IOB33S,IO_L14N_T2_SRCC_14,UNUSED,,14,,,,,,,,,
T16,,IOB33S,IO_L15N_T2_DQS_DOUT_CSO_B_14,UNUSED,,14,,,,,,,,,
T17,,,GND,,,,,,,,,,,,
T18,ALUOut<2>,IOB,IO_L7N_T1_D10_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
U1,ALUOut<31>,IOB,IO_L7P_T1_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
U2,ALUOut<28>,IOB,IO_L9P_T1_DQS_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
U3,ALUOut<27>,IOB,IO_L8N_T1_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
U4,ALUOut<30>,IOB,IO_L8P_T1_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
U5,,,VCCO_34,,,34,,,,,1.80,,,,
U6,,IOB33S,IO_L22N_T3_34,UNUSED,,34,,,,,,,,,
U7,,IOB33M,IO_L22P_T3_34,UNUSED,,34,,,,,,,,,
U8,,IOB33,IO_25_34,UNUSED,,34,,,,,,,,,
U9,,IOB33M,IO_L21P_T3_DQS_34,UNUSED,,34,,,,,,,,,
U10,,,GND,,,,,,,,,,,,
U11,DataMemOut<23>,IOB,IO_L19N_T3_A09_D25_VREF_14,TRISTATE,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,YES,NONE,
U12,DataMemOut<24>,IOB,IO_L20P_T3_A08_D24_14,TRISTATE,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,YES,NONE,
U13,DataMemOut<31>,IOB,IO_L23N_T3_A02_D18_14,TRISTATE,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,YES,NONE,
U14,DataMemOut<28>,IOB,IO_L22P_T3_A05_D21_14,TRISTATE,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,YES,NONE,
U15,,,VCCO_14,,,14,,,,,1.80,,,,
U16,DataMemOut<20>,IOB,IO_L18P_T2_A12_D28_14,TRISTATE,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,YES,NONE,
U17,DataMemOut<18>,IOB,IO_L17P_T2_A14_D30_14,TRISTATE,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,YES,NONE,
U18,DataMemOut<19>,IOB,IO_L17N_T2_A13_D29_14,TRISTATE,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,YES,NONE,
V1,ALUOut<29>,IOB,IO_L7N_T1_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
V2,ALUOut<26>,IOB,IO_L9N_T1_DQS_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
V3,,,GND,,,,,,,,,,,,
V4,ALUOut<24>,IOB,IO_L10N_T1_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
V5,ALUOut<25>,IOB,IO_L10P_T1_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
V6,,IOB33S,IO_L20N_T3_34,UNUSED,,34,,,,,,,,,
V7,,IOB33M,IO_L20P_T3_34,UNUSED,,34,,,,,,,,,
V8,,,VCCO_34,,,34,,,,,1.80,,,,
V9,,IOB33S,IO_L21N_T3_DQS_34,UNUSED,,34,,,,,,,,,
V10,DataMemOut<26>,IOB,IO_L21P_T3_DQS_14,TRISTATE,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,YES,NONE,
V11,DataMemOut<27>,IOB,IO_L21N_T3_DQS_A06_D22_14,TRISTATE,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,YES,NONE,
V12,DataMemOut<25>,IOB,IO_L20N_T3_A07_D23_14,TRISTATE,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,YES,NONE,
V13,,,GND,,,,,,,,,,,,
V14,DataMemOut<29>,IOB,IO_L22N_T3_A04_D20_14,TRISTATE,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,YES,NONE,
V15,DataMemOut<16>,IOB,IO_L16P_T2_CSI_B_14,TRISTATE,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,YES,NONE,
V16,DataMemOut<17>,IOB,IO_L16N_T2_A15_D31_14,TRISTATE,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,YES,NONE,
V17,DataMemOut<21>,IOB,IO_L18N_T2_A11_D27_14,TRISTATE,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,YES,NONE,
V18,,,VCCO_14,,,14,,,,,1.80,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#All RSVD_0 pins must be tied to GROUND.
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
